id,observed_on_string,observed_on,time_observed_at,scientific_name,common_name
9959961,2018/02/19 2:00 PM PST,2018-02-19,2018-02-19 22:00:00 +0000,Salpinctes obsoletus,Rock Wren
9983948,2018/02/19 7:10 PM PST,2018-02-19,2018-02-20 03:10:00 +0000,Campylorhynchus brunneicapillus,Cactus Wren
9983955,2018/02/21 1:11 AM PST,2018-02-21,2018-02-21 09:11:00 +0000,Phainopepla nitens,Phainopepla
9983956,2018/02/22 4:17 AM PST,2018-02-22,2018-02-22 12:17:00 +0000,Amphispiza bilineata,Black-throated Sparrow
9983957,2018/02/21 8:13 PM PST,2018-02-21,2018-02-22 04:13:00 +0000,Aphelocoma californica,California Scrub-Jay
9983958,2018/02/22 4:18 AM PST,2018-02-22,2018-02-22 12:18:00 +0000,Spizella breweri,Brewer's Sparrow
9984144,2018/02/21 1:16 PM PST,2018-02-21,2018-02-21 21:16:00 +0000,Aphelocoma californica,California Scrub-Jay
9984149,2018/02/21 1:03 PM PST,2018-02-21,2018-02-21 21:03:00 +0000,Anas platyrhynchos,Mallard
9984154,2018/02/20 11:34 PM PST,2018-02-20,2018-02-21 07:34:00 +0000,Buteo jamaicensis,Red-tailed Hawk
10032391,Mon Jan 08 2018 09:30:59 GMT-0800 (PST),2018-01-08,2018-01-08 17:30:59 +0000,Amphispiza bilineata,Black-throated Sparrow
10034705,2018/02/24 12:24 PM PST,2018-02-24,2018-02-24 20:24:00 +0000,Amphispiza bilineata,Black-throated Sparrow
10034706,2018/02/24 12:21 PM PST,2018-02-24,2018-02-24 20:21:00 +0000,Campylorhynchus brunneicapillus,Cactus Wren
10087131,2018-03-03 10:54:40 AM PST,2018-03-03,2018-03-03 18:54:40 +0000,Phainopepla nitens,Phainopepla
10092849,2017/09/25 12:46 PM PDT,2017-09-25,2017-09-25 19:46:00 +0000,Setophaga coronata auduboni,Audubon's Warbler
10105684,Sat Mar 03 2018 16:20:21 GMT-0800 (PST),2018-03-03,2018-03-04 00:20:21 +0000,Campylorhynchus brunneicapillus,Cactus Wren
10108964,2017/10/03 9:49 AM PDT,2017-10-03,2017-10-03 16:49:00 +0000,Spizella passerina,Chipping Sparrow
10169661,Sat Mar 10 2018 11:06:28 GMT-0800 (PST),2018-03-10,2018-03-10 19:06:28 +0000,Calypte costae,Costa's Hummingbird
10169673,Sat Mar 10 2018 11:07:01 GMT-0800 (PST),2018-03-10,2018-03-10 19:07:01 +0000,Calypte costae,Costa's Hummingbird
10169683,Sat Mar 10 2018 11:07:30 GMT-0800 (PST),2018-03-10,2018-03-10 19:07:30 +0000,Calypte costae,Costa's Hummingbird
10169910,Sat Mar 10 2018 11:14:08 GMT-0800 (PST),2018-03-10,2018-03-10 19:14:08 +0000,Calypte costae,Costa's Hummingbird
10169915,Sat Mar 10 2018 11:14:22 GMT-0800 (PST),2018-03-10,2018-03-10 19:14:22 +0000,Calypte costae,Costa's Hummingbird
10169926,Sat Mar 10 2018 11:14:42 GMT-0800 (PST),2018-03-10,2018-03-10 19:14:42 +0000,Calypte costae,Costa's Hummingbird
10181901,Sat Mar 10 2018 16:19:03 GMT-0800 (PST),2018-03-10,2018-03-11 00:19:03 +0000,Campylorhynchus brunneicapillus,Cactus Wren
10181910,Sat Mar 10 2018 16:37:21 GMT-0800 (PST),2018-03-10,2018-03-11 00:37:21 +0000,Calypte costae,Costa's Hummingbird
10187689,Sun Mar 11 2018 10:57:46 GMT-0700 (PDT),2018-03-11,2018-03-11 17:57:46 +0000,Aphelocoma californica,California Scrub-Jay
10208703,2018/03/11 9:16 AM PDT,2018-03-11,2018-03-11 16:16:00 +0000,Calypte costae,Costa's Hummingbird
10233287,2018-03-10,2018-03-10,,Zonotrichia leucophrys,White-crowned Sparrow
10233359,2018-03-10,2018-03-10,,Phainopepla nitens,Phainopepla
10237724,2018/03/11 6:40 PM PDT,2018-03-11,2018-03-12 01:40:00 +0000,Bubo virginianus,Great Horned Owl
10261465,2018/03/11 5:56 PM PDT,2018-03-11,2018-03-12 00:56:00 +0000,Phainopepla nitens,Phainopepla
10261506,2018/03/12 8:00 AM PDT,2018-03-12,2018-03-12 15:00:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow
10261541,2018/03/12 8:03 AM PDT,2018-03-12,2018-03-12 15:03:00 +0000,Amphispiza bilineata,Black-throated Sparrow
10261582,2018/03/12 8:59 AM PDT,2018-03-12,2018-03-12 15:59:00 +0000,Amphispiza bilineata,Black-throated Sparrow
10261685,2018/03/12 11:12 AM PDT,2018-03-12,2018-03-12 18:12:00 +0000,Corthylio calendula,Ruby-crowned Kinglet
10261732,2018/03/12 2:40 PM PDT,2018-03-12,2018-03-12 21:40:00 +0000,Anas platyrhynchos,Mallard
10261758,2018/03/12 2:48 PM PDT,2018-03-12,2018-03-12 21:48:00 +0000,Catherpes mexicanus,Canyon Wren
10261821,2018/03/12 3:02 PM PDT,2018-03-12,2018-03-12 22:02:00 +0000,Phainopepla nitens,Phainopepla
10261872,2018/03/12 4:45 PM PDT,2018-03-12,2018-03-12 23:45:00 +0000,Buteo jamaicensis,Red-tailed Hawk
10261940,2018/03/12 5:27 PM PDT,2018-03-12,2018-03-13 00:27:00 +0000,Selasphorus rufus,Rufous Hummingbird
10261989,2018/03/12 5:38 PM PDT,2018-03-12,2018-03-13 00:38:00 +0000,Passer domesticus,House Sparrow
10263473,2018-03-15,2018-03-15,,Corvus corax,Common Raven
10263680,2018-03-15,2018-03-15,,Corvus corax,Common Raven
10263712,2018-03-15 5:53:31 PM PDT,2018-03-15,2018-03-16 00:53:31 +0000,Zonotrichia leucophrys,White-crowned Sparrow
10264039,2018-03-15,2018-03-15,,Buteo jamaicensis,Red-tailed Hawk
10264094,2018-03-15 3:57:01 PM PDT,2018-03-15,2018-03-15 22:57:01 +0000,Corvus corax,Common Raven
10269515,2018/03/15 6:21 PM PST,2018-03-15,2018-03-16 01:21:00 +0000,Lanius ludovicianus,Loggerhead Shrike
10283065,2017/12/27 12:51 PM PST,2017-12-27,2017-12-27 20:51:00 +0000,Phainopepla nitens,Phainopepla
10314700,2017/12/26 2:42 PM CST,2017-12-26,2017-12-26 20:42:00 +0000,Corvus corax,Common Raven
10315094,2017/12/26 4:03 PM CST,2017-12-26,2017-12-26 22:03:00 +0000,Lanius ludovicianus,Loggerhead Shrike
10315105,2017/12/26 3:20 PM CST,2017-12-26,2017-12-26 21:20:00 +0000,Amphispiza bilineata,Black-throated Sparrow
10330771,2018/03/18 10:17 AM PDT,2018-03-18,2018-03-18 17:17:00 +0000,Amphispiza bilineata,Black-throated Sparrow
10362825,2018-03-19,2018-03-19,,Haemorhous mexicanus,House Finch
10363273,2018-03-19,2018-03-19,,Auriparus flaviceps,Verdin
10363279,2018-03-19,2018-03-19,,Auriparus flaviceps,Verdin
10441157,Mon Mar 26 2018 17:10:06 GMT-0700 (PDT),2018-03-26,2018-03-27 00:10:06 +0000,Icterus cucullatus,Hooded Oriole
10451889,2018-02-24 18:22:09,2018-02-24,2018-02-25 02:22:09 +0000,Toxostoma lecontei,LeConte's Thrasher
10451890,2018-02-24 18:18:14,2018-02-24,2018-02-25 02:18:14 +0000,Thryomanes bewickii,Bewick's Wren
10452082,2017/04/25 3:45 PM CEST,2017-04-25,2017-04-25 13:45:00 +0000,Amphispiza bilineata,Black-throated Sparrow
10454505,2017/04/26 9:36 AM CEST,2017-04-26,2017-04-26 07:36:00 +0000,Phainopepla nitens,Phainopepla
10454509,2017/04/26 10:28 AM CEST,2017-04-26,2017-04-26 08:28:00 +0000,Mimus polyglottos,Northern Mockingbird
10467019,2018-02-24 18:32:51,2018-02-24,2018-02-25 02:32:51 +0000,Lanius ludovicianus,Loggerhead Shrike
10485068,2017-12-31 9:34:57 AM CST,2017-12-31,2017-12-31 15:34:57 +0000,Buteo jamaicensis,Red-tailed Hawk
10502396,2018/03/28 2:43 PM EDT,2018-03-28,2018-03-28 18:43:00 +0000,Amphispiza bilineata,Black-throated Sparrow
10502854,Thu Mar 29 2018 16:03:58 GMT-0700 (PDT),2018-03-29,2018-03-29 23:03:58 +0000,Phainopepla nitens,Phainopepla
10516405,Fri Mar 30 2018 12:00:14 GMT-0700 (PDT),2018-03-30,2018-03-30 19:00:14 +0000,Icterus parisorum,Scott's Oriole
10551015,2018/01/02 11:50 AM PST,2018-01-02,2018-01-02 19:50:00 +0000,Calypte anna,Anna's Hummingbird
10551121,2018/01/02 12:14 PM PST,2018-01-02,2018-01-02 20:14:00 +0000,Artemisiospiza nevadensis,Sagebrush Sparrow
10551319,2018/01/02 12:59 PM PST,2018-01-02,2018-01-02 20:59:00 +0000,Oreoscoptes montanus,Sage Thrasher
10560158,2018/03/29 9:42 AM UTC,2018-03-29,,Phainopepla nitens,Phainopepla
10578015,2018/03/30 1:05 PM UTC,2018-03-30,,Calypte anna,Anna's Hummingbird
10578017,2018/03/30 3:42 PM UTC,2018-03-30,,Cathartes aura,Turkey Vulture
10578834,2016/01/09 1:02 PM HST,2016-01-09,2016-01-09 23:02:00 +0000,Gymnorhinus cyanocephalus,Pinyon Jay
10579578,2018/03/31 3:18 PM UTC,2018-03-31,,Aphelocoma californica,California Scrub-Jay
10580263,2018/03/31 4:10 PM UTC,2018-03-31,,Amphispiza bilineata,Black-throated Sparrow
10581780,2018/03/31 5:40 PM UTC,2018-03-31,,Junco hyemalis,Dark-eyed Junco
10628836,2018/01/04 12:54 PM PST,2018-01-04,2018-01-04 20:54:00 +0000,Artemisiospiza belli,Bell's Sparrow
10628928,2018/01/05 9:15 AM PST,2018-01-05,2018-01-05 17:15:00 +0000,Dryobates scalaris,Ladder-backed Woodpecker
10628957,2018/01/05 8:32 AM PST,2018-01-05,2018-01-05 16:32:00 +0000,Buteo jamaicensis,Red-tailed Hawk
10628984,2018/01/05 10:27 AM PST,2018-01-05,2018-01-05 18:27:00 +0000,Gymnorhinus cyanocephalus,Pinyon Jay
10798992,Mon Apr 09 2018 13:13:49 GMT-0700 (PDT),2018-04-09,2018-04-09 20:13:49 +0000,Amphispiza bilineata,Black-throated Sparrow
10799018,Mon Apr 09 2018 09:02:09 GMT-0700 (PDT),2018-04-09,2018-04-09 16:02:09 +0000,Aphelocoma californica,California Scrub-Jay
10799046,Mon Apr 09 2018 09:00:12 GMT-0700 (PDT),2018-04-09,2018-04-09 16:00:12 +0000,Aphelocoma californica,California Scrub-Jay
10799061,Sun Apr 08 2018 17:52:27 GMT-0700 (PDT),2018-04-08,2018-04-09 00:52:27 +0000,Campylorhynchus brunneicapillus,Cactus Wren
10886658,2018/04/10 9:57 AM PDT,2018-04-10,2018-04-10 16:57:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow
10886673,2018/04/10 10:58 AM PDT,2018-04-10,2018-04-10 17:58:00 +0000,Phainopepla nitens,Phainopepla
10886703,2018/04/10 11:02 AM PDT,2018-04-10,2018-04-10 18:02:00 +0000,Empidonax,Empidonax Flycatchers
10886724,2018/04/10 12:57 PM PDT,2018-04-10,2018-04-10 19:57:00 +0000,Calypte costae,Costa's Hummingbird
10887807,2018/04/09 4:27 PM PDT,2018-04-09,2018-04-09 23:27:00 +0000,Campylorhynchus brunneicapillus,Cactus Wren
10888419,2018/04/10 8:19 AM PDT,2018-04-10,2018-04-10 15:19:00 +0000,Lanius ludovicianus,Loggerhead Shrike
10941421,Sat Apr 14 2018 18:52:35 GMT-0700 (PDT),2018-04-14,2018-04-15 01:52:35 +0000,Phainopepla nitens,Phainopepla
10963648,2018/04/12 8:23 AM PDT,2018-04-12,2018-04-12 15:23:00 +0000,Campylorhynchus brunneicapillus,Cactus Wren
11134568,2018/04/11 3:39 PM PDT,2018-04-11,2018-04-11 22:39:00 +0000,Phainopepla nitens,Phainopepla
11135954,2018/04/11 4:24 PM PDT,2018-04-11,2018-04-11 23:24:00 +0000,Haemorhous mexicanus,House Finch
11136519,2018/04/11 4:46 PM PDT,2018-04-11,2018-04-11 23:46:00 +0000,Campylorhynchus brunneicapillus,Cactus Wren
11146205,2018/04/14 4:12 PM PDT,2018-04-14,2018-04-14 23:12:00 +0000,Amphispiza bilineata,Black-throated Sparrow
11146234,2018/04/14 4:48 PM PDT,2018-04-14,2018-04-14 23:48:00 +0000,Lanius ludovicianus,Loggerhead Shrike
11146242,2018/04/14 4:51 PM PDT,2018-04-14,2018-04-14 23:51:00 +0000,Dryobates scalaris,Ladder-backed Woodpecker
11146249,2018/04/14 5:08 PM PDT,2018-04-14,2018-04-15 00:08:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow
11146937,2018/04/11 2:22 PM PDT,2018-04-11,2018-04-11 21:22:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow
11147890,2018/04/11 2:29 PM PDT,2018-04-11,2018-04-11 21:29:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow
11148101,2018/04/11 3:23 PM PDT,2018-04-11,2018-04-11 22:23:00 +0000,Phainopepla nitens,Phainopepla
11373686,Sat Apr 30 2016 11:30:14 GMT-0700 (PDT),2016-04-30,2016-04-30 18:30:14 +0000,Aphelocoma californica,California Scrub-Jay
11389510,Fri Apr 13 2018 18:51:38 GMT-0400 (EDT),2018-04-13,2018-04-13 22:51:38 +0000,Callipepla gambelii,Gambel's Quail
11398664,Fri Apr 20 2018 20:11:35 GMT-0600 (MDT),2018-04-20,2018-04-21 02:11:35 +0000,Calidris minutilla,Least Sandpiper
11442719,2018/04/17 4:22 PM PDT,2018-04-17,2018-04-17 23:22:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow
11442738,2018/04/17 5:11 PM PDT,2018-04-17,2018-04-18 00:11:00 +0000,Callipepla gambelii,Gambel's Quail
11478014,2017/01/29 11:02 PM PST,2017-01-29,2017-01-30 07:02:00 +0000,Phainopepla nitens,Phainopepla
11545351,2018/01/02 1:03 PM PST,2018-01-02,2018-01-02 21:03:00 +0000,Lanius ludovicianus,Loggerhead Shrike
11549314,2018/02/06 10:01 AM PST,2018-02-06,2018-02-06 18:01:00 +0000,Phainopepla nitens,Phainopepla
11549931,2018/02/16 9:11 AM PST,2018-02-16,2018-02-16 17:11:00 +0000,Anas platyrhynchos,Mallard
11550193,2018/02/16 10:03 AM PST,2018-02-16,2018-02-16 18:03:00 +0000,Dryobates scalaris,Ladder-backed Woodpecker
11550403,2018/02/16 12:18 PM PST,2018-02-16,2018-02-16 20:18:00 +0000,Phainopepla nitens,Phainopepla
11551473,2018/02/17 10:36 AM PST,2018-02-17,2018-02-17 18:36:00 +0000,Corvus corax,Common Raven
11551664,2018/02/17 10:42 AM PST,2018-02-17,2018-02-17 18:42:00 +0000,Streptopelia decaocto,Eurasian Collared-Dove
11552360,2018/02/17 10:58 AM PST,2018-02-17,2018-02-17 18:58:00 +0000,Thryomanes bewickii,Bewick's Wren
11552871,2018/02/17 11:24 AM PST,2018-02-17,2018-02-17 19:24:00 +0000,Falco mexicanus,Prairie Falcon
11553023,2018/02/17 11:26 AM PST,2018-02-17,2018-02-17 19:26:00 +0000,Falco mexicanus,Prairie Falcon
11553567,2018/02/17 11:32 AM PST,2018-02-17,2018-02-17 19:32:00 +0000,Sialia currucoides,Mountain Bluebird
11553999,2018/02/19 8:44 AM PST,2018-02-19,2018-02-19 16:44:00 +0000,Lanius ludovicianus,Loggerhead Shrike
11554265,2018/02/19 9:44 AM PST,2018-02-19,2018-02-19 17:44:00 +0000,Sayornis nigricans,Black Phoebe
11554651,2018/02/19 10:03 AM PST,2018-02-19,2018-02-19 18:03:00 +0000,Junco hyemalis,Dark-eyed Junco
11554854,2018/02/19 10:43 AM PST,2018-02-19,2018-02-19 18:43:00 +0000,Polioptila melanura,Black-tailed Gnatcatcher
11555135,2018/02/19 11:15 AM PST,2018-02-19,2018-02-19 19:15:00 +0000,Buteo jamaicensis,Red-tailed Hawk
11668651,2007/11/23 9:48 AM HST,2007-11-23,2007-11-23 19:48:00 +0000,Campylorhynchus brunneicapillus,Cactus Wren
11975508,Sun Apr 29 2018 14:29:18 GMT-0700 (PDT),2018-04-29,2018-04-29 21:29:18 +0000,Setophaga townsendi,Townsend's Warbler
12068981,2018/03/06 3:48 PM PST,2018-03-06,2018-03-06 23:48:00 +0000,Spizella breweri,Brewer's Sparrow
12080911,2018/04/19 9:22 PM PDT,2018-04-19,2018-04-20 04:22:00 +0000,Tachycineta bicolor,Tree Swallow
12081006,2018/04/19 9:23 PM PDT,2018-04-19,2018-04-20 04:23:00 +0000,Salpinctes obsoletus,Rock Wren
12081048,2018/04/19 9:25 PM PDT,2018-04-19,2018-04-20 04:25:00 +0000,Hirundo rustica,Barn Swallow
12081114,2018/04/19 9:32 PM PDT,2018-04-19,2018-04-20 04:32:00 +0000,Calidris minutilla,Least Sandpiper
12081139,2018/04/19 9:42 PM PDT,2018-04-19,2018-04-20 04:42:00 +0000,Phainopepla nitens,Phainopepla
12081145,2018/04/19 9:43 PM PDT,2018-04-19,2018-04-20 04:43:00 +0000,Passerina amoena,Lazuli Bunting
12145533,2018/03/24 11:47 AM PDT,2018-03-24,2018-03-24 18:47:00 +0000,Myiarchus cinerascens,Ash-throated Flycatcher
12145579,2018/03/24 11:52 AM PDT,2018-03-24,2018-03-24 18:52:00 +0000,Vireo gilvus,Warbling Vireo
12145869,2018/03/24 11:56 AM PDT,2018-03-24,2018-03-24 18:56:00 +0000,Calypte costae,Costa's Hummingbird
12153243,2018/05/03 5:20 AM PDT,2018-05-03,2018-05-03 12:20:00 +0000,Amphispiza bilineata,Black-throated Sparrow
12224192,2018/04/23 7:49 AM PDT,2018-04-23,2018-04-23 14:49:00 +0000,Polioptila melanura,Black-tailed Gnatcatcher
12224303,2018/04/23 8:16 AM PDT,2018-04-23,2018-04-23 15:16:00 +0000,Icterus parisorum,Scott's Oriole
12224326,2018/04/23 9:53 AM PDT,2018-04-23,2018-04-23 16:53:00 +0000,Calidris minutilla,Least Sandpiper
12224361,2018/04/23 9:56 AM PDT,2018-04-23,2018-04-23 16:56:00 +0000,Charadrius vociferus,Killdeer
12224427,2018/04/23 10:09 AM PDT,2018-04-23,2018-04-23 17:09:00 +0000,Tringa solitaria,Solitary Sandpiper
12224627,2018/04/23 10:10 AM PDT,2018-04-23,2018-04-23 17:10:00 +0000,Anas platyrhynchos,Mallard
12250362,2018/05/05 4:22 PM PDT,2018-05-05,2018-05-05 23:22:00 +0000,Icterus parisorum,Scott's Oriole
12258726,2018/04/19 9:52 PM PDT,2018-04-19,2018-04-20 04:52:00 +0000,Sayornis saya,Say's Phoebe
12258791,2018/04/19 10:13 PM PDT,2018-04-19,2018-04-20 05:13:00 +0000,Callipepla gambelii,Gambel's Quail
12258861,2018/04/19 10:14 PM PDT,2018-04-19,2018-04-20 05:14:00 +0000,Calypte costae,Costa's Hummingbird
12258876,2018/04/19 10:18 PM PDT,2018-04-19,2018-04-20 05:18:00 +0000,Pheucticus melanocephalus,Black-headed Grosbeak
12322160,2018-05-10 7:07:02 AM PDT,2018-05-10,2018-05-10 14:07:02 +0000,Ardea alba,Great Egret
12333670,Wed May 09 2018 07:56:51 GMT-0700 (PDT),2018-05-09,2018-05-09 14:56:51 +0000,Pheucticus melanocephalus,Black-headed Grosbeak
12344073,2018-05-03,2018-05-03,,Anas platyrhynchos,Mallard
12398333,2018/04/26 8:16 AM PDT,2018-04-26,2018-04-26 15:16:00 +0000,Gymnorhinus cyanocephalus,Pinyon Jay
12398609,2018/04/26 9:04 AM PDT,2018-04-26,2018-04-26 16:04:00 +0000,Myiarchus cinerascens,Ash-throated Flycatcher
12399451,2018/04/26 12:46 PM PDT,2018-04-26,2018-04-26 19:46:00 +0000,Empidonax difficilis,Western Flycatcher
12462542,2018/04/19 11:16 PM PDT,2018-04-19,2018-04-20 06:16:00 +0000,Buteo jamaicensis,Red-tailed Hawk
12469206,2018/04/20 3:50 AM PDT,2018-04-20,2018-04-20 10:50:00 +0000,Leiothlypis celata,Orange-crowned Warbler
12469362,2018/04/20 3:54 AM PDT,2018-04-20,2018-04-20 10:54:00 +0000,Setophaga coronata,Yellow-rumped Warbler
12562000,2018/04/28 1:57 PM PDT,2018-04-28,2018-04-28 20:57:00 +0000,Gymnorhinus cyanocephalus,Pinyon Jay
12614143,Fri May 04 2018 08:36:12 GMT-0700 (PDT),2018-05-04,2018-05-04 15:36:12 +0000,Buteo jamaicensis,Red-tailed Hawk
12614182,Fri May 04 2018 09:08:34 GMT-0700 (PDT),2018-05-04,2018-05-04 16:08:34 +0000,Campylorhynchus brunneicapillus,Cactus Wren
12614678,Fri May 04 2018 14:23:12 GMT-0700 (PDT),2018-05-04,2018-05-04 21:23:12 +0000,Icterus parisorum,Scott's Oriole
12681949,2018/05/19 7:30 AM PDT,2018-05-19,2018-05-19 14:30:00 +0000,Piranga ludoviciana,Western Tanager
12682030,2018/05/19 7:35 AM PDT,2018-05-19,2018-05-19 14:35:00 +0000,Myiarchus cinerascens,Ash-throated Flycatcher
12760524,2018/05/19 7:44 PM PDT,2018-05-19,2018-05-20 02:44:00 +0000,Piranga ludoviciana,Western Tanager
12768463,2016/12/19 11:38 AM HST,2016-12-19,2016-12-19 21:38:00 +0000,Geococcyx californianus,Greater Roadrunner
12792074,2018/05/17 10:54 PM PDT,2018-05-17,2018-05-18 05:54:00 +0000,Auriparus flaviceps,Verdin
12814381,2018/05/17 11:33 PM PDT,2018-05-17,2018-05-18 06:33:00 +0000,Empidonax difficilis,Western Flycatcher
12814738,2018/05/17 11:35 PM PDT,2018-05-17,2018-05-18 06:35:00 +0000,Empidonax difficilis,Western Flycatcher
12814888,2018/05/17 11:37 PM PDT,2018-05-17,2018-05-18 06:37:00 +0000,Contopus sordidulus,Western Wood-Pewee
12815165,2018/05/17 11:42 PM PDT,2018-05-17,2018-05-18 06:42:00 +0000,Catharus guttatus,Hermit Thrush
12838300,2017/10/14 11:33 AM PDT,2017-10-14,2017-10-14 18:33:00 +0000,Callipepla gambelii,Gambel's Quail
12884259,2018-05-26 12:19:14 PM PDT,2018-05-26,2018-05-26 19:19:14 +0000,Gymnorhinus cyanocephalus,Pinyon Jay
12884336,2018-05-26 12:29:07 PM PDT,2018-05-26,2018-05-26 19:29:07 +0000,Cathartes aura,Turkey Vulture
12884415,2018-05-26 1:08:37 PM PDT,2018-05-26,2018-05-26 20:08:37 +0000,Cathartes aura,Turkey Vulture
12884417,2018-05-26 1:10:10 PM PDT,2018-05-26,2018-05-26 20:10:10 +0000,Cathartes aura,Turkey Vulture
12884496,2018-05-26 1:55:36 PM PDT,2018-05-26,2018-05-26 20:55:36 +0000,Callipepla gambelii,Gambel's Quail
12884701,2018-05-26 3:31:44 PM PDT,2018-05-26,2018-05-26 22:31:44 +0000,Gymnorhinus cyanocephalus,Pinyon Jay
12884778,2018-05-26 4:20:30 PM PDT,2018-05-26,2018-05-26 23:20:30 +0000,Cathartes aura,Turkey Vulture
12918416,2018/05/18 1:25 AM PDT,2018-05-18,2018-05-18 08:25:00 +0000,Aphelocoma californica,California Scrub-Jay
12918458,2018/05/18 3:09 AM PDT,2018-05-18,2018-05-18 10:09:00 +0000,Callipepla gambelii,Gambel's Quail
12965618,Wed May 30 2018 14:15:35 GMT-0700 (PDT),2018-05-30,2018-05-30 21:15:35 +0000,Geococcyx californianus,Greater Roadrunner
12975199,2018/05/30 10:04 AM PDT,2018-05-30,2018-05-30 17:04:00 +0000,Amphispiza bilineata,Black-throated Sparrow
12975200,2018/05/30 10:45 AM PDT,2018-05-30,2018-05-30 17:45:00 +0000,Aphelocoma californica,California Scrub-Jay
12975202,2018/05/30 10:44 AM PDT,2018-05-30,2018-05-30 17:44:00 +0000,Auriparus flaviceps,Verdin
13232985,2018/05/28 10:25 AM HST,2018-05-28,2018-05-28 20:25:00 +0000,Auriparus flaviceps,Verdin
13232986,2018/05/28 11:19 AM HST,2018-05-28,2018-05-28 21:19:00 +0000,Campylorhynchus brunneicapillus,Cactus Wren
13232987,2018/05/28 1:35 PM HST,2018-05-28,2018-05-28 23:35:00 +0000,Piranga ludoviciana,Western Tanager
13232988,2018/05/28 1:37 PM HST,2018-05-28,2018-05-28 23:37:00 +0000,Icterus cucullatus,Hooded Oriole
13233267,2018/05/29 5:04 PM HST,2018-05-29,2018-05-30 03:04:00 +0000,Calypte costae,Costa's Hummingbird
13233270,2018/05/28 1:33 PM HST,2018-05-28,2018-05-28 23:33:00 +0000,Empidonax difficilis,Western Flycatcher
13233271,2018/05/29 8:54 AM HST,2018-05-29,2018-05-29 18:54:00 +0000,Lanius ludovicianus,Loggerhead Shrike
13233272,2018/05/29 9:18 AM HST,2018-05-29,2018-05-29 19:18:00 +0000,Auriparus flaviceps,Verdin
13233273,2018/05/29 10:00 AM HST,2018-05-29,2018-05-29 20:00:00 +0000,Pheucticus melanocephalus,Black-headed Grosbeak
13233277,2018/05/29 4:01 PM HST,2018-05-29,2018-05-30 02:01:00 +0000,Corvus corax,Common Raven
13233279,2018/05/29 4:02 PM HST,2018-05-29,2018-05-30 02:02:00 +0000,Sayornis saya,Say's Phoebe
13248050,2018/05/21 9:26 AM PDT,2018-05-21,2018-05-21 16:26:00 +0000,Campylorhynchus brunneicapillus,Cactus Wren
13357423,2018/05/19 12:20 AM PDT,2018-05-19,2018-05-19 07:20:00 +0000,Setophaga townsendi,Townsend's Warbler
13358115,2018/05/19 1:04 AM PDT,2018-05-19,2018-05-19 08:04:00 +0000,Amphispiza bilineata,Black-throated Sparrow
13416132,2011/04/17 7:48 AM PDT,2011-04-17,2011-04-17 14:48:00 +0000,Callipepla gambelii,Gambel's Quail
13416176,Sun May 20 2018 14:05:45 GMT-0700 (PDT),2018-05-20,2018-05-20 21:05:45 +0000,Haemorhous mexicanus,House Finch
13416313,Mon May 21 2018 10:01:52 GMT-0700 (PDT),2018-05-21,2018-05-21 17:01:52 +0000,Amphispiza bilineata,Black-throated Sparrow
13442141,2011/04/17 7:00 AM PDT,2011-04-17,2011-04-17 14:00:00 +0000,Streptopelia decaocto,Eurasian Collared-Dove
13465904,2011/04/17 9:04 AM PDT,2011-04-17,2011-04-17 16:04:00 +0000,Dryobates scalaris,Ladder-backed Woodpecker
13472281,2011/04/17 6:58 AM PDT,2011-04-17,2011-04-17 13:58:00 +0000,Campylorhynchus brunneicapillus,Cactus Wren
13529525,Sun Apr 15 2018 11:40:30 GMT-0700 (PDT),2018-04-15,2018-04-15 18:40:30 +0000,Corvus corax,Common Raven
13543386,2018/06/17 2:46 PM PDT,2018-06-17,2018-06-17 21:46:00 +0000,Amphispiza bilineata,Black-throated Sparrow
13543400,2018/06/17 3:10 PM PDT,2018-06-17,2018-06-17 22:10:00 +0000,Amphispiza bilineata,Black-throated Sparrow
13543401,2018/06/17 3:16 PM PDT,2018-06-17,2018-06-17 22:16:00 +0000,Myiarchus cinerascens,Ash-throated Flycatcher
13543410,2018/06/17 4:20 PM PDT,2018-06-17,2018-06-17 23:20:00 +0000,Campylorhynchus brunneicapillus,Cactus Wren
13580999,2017/04/09 10:50 AM PDT,2017-04-09,2017-04-09 17:50:00 +0000,Amphispiza bilineata,Black-throated Sparrow
13581001,2013/04/20 2:59 PM PDT,2013-04-20,2013-04-20 21:59:00 +0000,Spizella breweri,Brewer's Sparrow
13596494,2011/04/17 7:25 AM PDT,2011-04-17,2011-04-17 14:25:00 +0000,Icterus parisorum,Scott's Oriole
13608608,Sat Jun 09 2018 16:07:59 GMT-0700 (PDT),2018-06-09,2018-06-09 23:07:59 +0000,Sayornis saya,Say's Phoebe
13649105,Sun Jun 17 2018 17:04:38 GMT-0400 (EDT),2018-06-17,2018-06-17 21:04:38 +0000,Amphispiza bilineata,Black-throated Sparrow
13673168,Mon Aug 03 2015 02:21:35 GMT+0200 (GMT+2),2015-08-03,2015-08-03 00:21:35 +0000,Auriparus flaviceps,Verdin
